product_id,product_sugar_content,product_type,store_id,store_size,store_location_city_type,store_type,product_weight,product_allocated_area,product_mrp,store_establishment_year,product_store_sales_total
DR1690,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,11.81,0.1,180.62,2009.0,3950.16
FD7210,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,11.18,0.036,124.9,2009.0,2668.03
FD3784,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,7.03,0.172,99.01,1998.0,1200.1
FD8692,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.81,0.025,143.16,2009.0,3410.04
FD6194,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,10.94,0.051,133.62,2009.0,2792.7
FD7301,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.87,0.099,116.18,2009.0,3097.16
NC7084,No Sugar,Others,OUT004,Medium,Tier 2,Supermarket Type2,12.46,0.053,155.15,2009.0,3575.15
NC2661,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,12.11,0.079,132.74,2009.0,3037.57
FD8358,Regular,Baking Goods,OUT001,High,Tier 2,Supermarket Type1,14.83,0.148,181.27,1987.0,4645.4
FD6813,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,12.03,0.129,100.64,1987.0,2362.36
FD7428,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2,12.95,0.023,138.22,2009.0,3339.26
FD3324,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,14.57,0.054,143.73,2009.0,3818.92
FD576,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,11.17,0.016,137.87,2009.0,4447.91
FD5131,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2,12.95,0.076,155.55,2009.0,3695.51
FD4739,Regular,Meat,OUT001,High,Tier 2,Supermarket Type1,14.44,0.027,184.72,1987.0,4629.45
FD3384,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.76,0.03,146.66,2009.0,3470.1
DR7064,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,11.73,0.048,122.21,2009.0,2737.89
FD7133,Regular,Breakfast,OUT001,High,Tier 2,Supermarket Type1,14.0,0.042,165.12,1987.0,4128.66
NC4781,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,11.73,0.066,137.3,2009.0,3044.77
DR4728,Low Sugar,Hard Drinks,OUT002,Small,Tier 3,Food Mart,7.66,0.068,74.61,1998.0,842.74
FD4162,Regular,Canned,OUT002,Small,Tier 3,Food Mart,9.68,0.013,71.53,1998.0,1236.54
FD4166,Regular,Canned,OUT001,High,Tier 2,Supermarket Type1,16.72,0.128,160.17,1987.0,4642.35
FD2382,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,14.8,0.055,130.36,2009.0,3597.04
FD250,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1,13.4,0.047,178.15,1987.0,3020.84
FD7449,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,10.29,0.121,152.06,2009.0,3023.14
DR8079,Low Sugar,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2,11.29,0.021,155.86,2009.0,3325.42
FD7272,Regular,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1,15.59,0.05,180.74,1987.0,4806.88
FD3469,Regular,Starchy Foods,OUT002,Small,Tier 3,Food Mart,11.18,0.046,102.45,1998.0,2207.51
FD5746,reg,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,11.59,0.091,145.79,2009.0,3188.61
FD8260,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,11.48,0.07,90.06,1998.0,2022.24
FD5863,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.49,0.077,138.54,2009.0,3243.32
FD6792,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,10.57,0.121,134.5,2009.0,2726.88
NC1944,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart,7.14,0.034,82.6,1998.0,889.12
FD31,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,11.38,0.073,158.73,2009.0,2274.43
FD4457,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,9.62,0.103,134.38,2009.0,2508.69
FD8321,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,11.69,0.011,135.43,2009.0,2998.93
FD1040,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,15.24,0.059,141.0,2009.0,3913.45
FD3355,Regular,Dairy,OUT002,Small,Tier 3,Food Mart,9.63,0.162,108.43,1998.0,1980.59
FD3181,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.26,0.14,138.27,2009.0,3185.13
DR3716,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,11.3,0.033,163.81,2009.0,3491.22
NC6251,No Sugar,Others,OUT004,Medium,Tier 2,Supermarket Type2,11.69,0.035,183.71,2009.0,3985.57
FD4554,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.23,0.057,124.67,2009.0,3126.74
FD2262,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,12.98,0.021,124.86,2009.0,3073.1
FD669,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,12.71,0.029,145.61,2009.0,3438.07
FD3532,Regular,Canned,OUT004,Medium,Tier 2,Supermarket Type2,9.73,0.031,175.81,2009.0,3381.51
FD2888,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.06,0.191,151.96,2009.0,3646.25
FD2216,Regular,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart,6.99,0.023,90.88,1998.0,1025.01
FD1404,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,15.14,0.088,182.81,1987.0,4747.34
FD5333,Low Sugar,Meat,OUT002,Small,Tier 3,Food Mart,10.48,0.073,92.63,1998.0,1849.5
FD7573,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,9.77,0.035,154.41,2009.0,2952.72
FD7436,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.44,0.038,174.75,2009.0,3745.45
NC2187,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart,11.61,0.035,96.42,1998.0,2181.04
FD432,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1,9.16,0.142,117.08,1987.0,4364.15
DR260,Regular,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2,14.3,0.085,120.73,2009.0,2126.69
FD2317,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.85,0.022,158.13,2009.0,3724.09
FD3884,reg,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,11.72,0.102,143.79,2009.0,3175.51
FD2428,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,9.14,0.036,159.23,2009.0,2907.97
FD7176,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,11.39,0.026,118.84,2009.0,2591.42
FD4060,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,12.17,0.059,177.83,2009.0,3973.77
FD3916,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,10.04,0.168,111.63,1998.0,2139.18
FD3509,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.68,0.042,129.32,2009.0,3322.1
FD2142,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,11.96,0.21,189.37,1987.0,4163.44
FD2452,Low Sugar,Dairy,OUT002,Small,Tier 3,Food Mart,12.34,0.016,75.29,1998.0,1913.64
FD4412,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.35,0.034,138.98,2009.0,3445.02
FD4499,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,15.29,0.143,143.19,2009.0,3971.12
FD197,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.6,0.025,157.47,2009.0,3288.06
FD451,Regular,Dairy,OUT002,Small,Tier 3,Food Mart,14.42,0.036,162.86,1998.0,913.54
FD2259,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.76,0.053,136.29,2009.0,3032.46
FD2831,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,12.83,0.095,159.77,2009.0,3753.24
FD784,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,14.52,0.061,130.67,2009.0,3541.1
FD3983,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.97,0.022,111.78,2009.0,2578.16
FD2780,Low Sugar,Frozen Foods,OUT002,Small,Tier 3,Food Mart,7.53,0.188,77.56,1998.0,874.72
FD6095,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,9.61,0.118,154.62,2009.0,2921.65
DR848,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,12.0,0.058,110.21,2009.0,2551.99
FD3131,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.98,0.027,156.32,2009.0,3490.6
DR4603,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,11.94,0.067,175.92,2009.0,3883.52
FD8450,reg,Breads,OUT004,Medium,Tier 2,Supermarket Type2,14.08,0.074,127.51,2009.0,3375.71
FD5334,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart,8.56,0.035,76.33,1998.0,1082.17
NC6437,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,13.01,0.054,144.54,2009.0,3482.54
NC6701,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,12.39,0.021,118.51,2009.0,2810.58
NC5677,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,10.78,0.018,138.62,2009.0,2857.3
DR139,Regular,Hard Drinks,OUT004,Medium,Tier 2,Supermarket Type2,9.5,0.035,181.02,2009.0,3604.83
FD3478,Low Sugar,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1,12.98,0.142,178.51,1987.0,4172.0
FD5710,Low Sugar,Breads,OUT004,Medium,Tier 2,Supermarket Type2,11.99,0.049,121.01,2009.0,2770.65
FD6624,Low Sugar,Dairy,OUT001,High,Tier 2,Supermarket Type1,9.37,0.111,135.92,1987.0,2484.71
FD5615,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,13.46,0.065,162.02,2009.0,3942.04
FD8494,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,9.96,0.029,147.98,2009.0,2864.34
FD8551,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,10.62,0.036,195.34,2009.0,3982.0
FD2781,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,7.27,0.011,104.5,1998.0,1366.11
FD5463,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.51,0.049,158.38,2009.0,3654.12
FD241,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.23,0.072,131.62,2009.0,2986.38
FD6117,Low Sugar,Baking Goods,OUT001,High,Tier 2,Supermarket Type1,14.56,0.039,156.96,1987.0,4087.94
FD1794,Low Sugar,Canned,OUT002,Small,Tier 3,Food Mart,8.98,0.038,101.43,1998.0,1690.64
DR6476,Low Sugar,Hard Drinks,OUT001,High,Tier 2,Supermarket Type1,16.06,0.106,169.48,1987.0,4682.36
FD1284,Low Sugar,Starchy Foods,OUT001,High,Tier 2,Supermarket Type1,14.1,0.056,161.7,1987.0,4080.52
NC1897,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart,9.67,0.113,95.77,1998.0,1729.42
FD2371,Low Sugar,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart,7.72,0.07,123.45,1998.0,1856.55
FD2889,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.73,0.042,143.71,2009.0,3402.45
FD7218,Low Sugar,Seafood,OUT002,Small,Tier 3,Food Mart,10.7,0.041,86.35,1998.0,1769.62
FD3750,Low Sugar,Fruits and Vegetables,OUT001,High,Tier 2,Supermarket Type1,9.37,0.027,133.89,1987.0,2441.86
DR2923,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,12.97,0.147,133.97,2009.0,3257.26
FD682,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.09,0.067,129.2,2009.0,2734.63
FD5973,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,11.31,0.037,159.43,2009.0,3404.02
FD3896,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,9.96,0.047,136.53,2009.0,2630.07
FD3058,Low Sugar,Starchy Foods,OUT002,Small,Tier 3,Food Mart,12.15,0.081,78.82,1998.0,1943.02
FD8707,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,11.0,0.173,126.72,2009.0,2664.63
FD8012,Regular,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.04,0.024,134.17,2009.0,2826.38
FD894,Low Sugar,Dairy,OUT001,High,Tier 2,Supermarket Type1,14.86,0.009,175.22,1987.0,4529.36
FD6461,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,11.61,0.127,113.3,2009.0,2527.98
FD7090,Low Sugar,Starchy Foods,OUT001,High,Tier 2,Supermarket Type1,10.6,0.12,120.41,1987.0,2445.43
FD1031,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,12.13,0.039,107.33,2009.0,2521.74
FD4909,Regular,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,14.58,0.011,144.79,2009.0,3843.45
FD2146,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.19,0.042,130.79,2009.0,3242.51
FD1735,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,13.11,0.035,152.92,2009.0,3676.04
FD3649,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,13.26,0.037,147.89,2009.0,3607.36
FD6692,Regular,Breads,OUT004,Medium,Tier 2,Supermarket Type2,11.43,0.053,161.36,2009.0,3471.26
FD1513,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.98,0.067,138.18,2009.0,3572.68
NC4183,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,14.31,0.033,151.97,2009.0,3928.7
NC2851,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,11.14,0.099,147.29,2009.0,3117.58
NC7303,No Sugar,Health and Hygiene,OUT001,High,Tier 2,Supermarket Type1,12.7,0.007,180.41,1987.0,4147.38
NC6619,No Sugar,Household,OUT001,High,Tier 2,Supermarket Type1,14.34,0.047,199.55,1987.0,4909.67
FD5528,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,12.62,0.073,136.18,2009.0,3223.03
FD7378,Regular,Dairy,OUT001,High,Tier 2,Supermarket Type1,15.78,0.12,143.1,1987.0,4080.75
FD3560,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,11.15,0.116,140.71,2009.0,2985.32
NC2141,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,15.95,0.139,135.72,2009.0,3967.29
FD1212,Low Sugar,Meat,OUT004,Medium,Tier 2,Supermarket Type2,12.04,0.026,137.59,2009.0,3121.33
FD5743,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,11.27,0.061,124.65,2009.0,2682.62
FD7738,Low Sugar,Frozen Foods,OUT001,High,Tier 2,Supermarket Type1,14.24,0.021,184.56,1987.0,4580.86
FD6508,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,12.49,0.061,119.85,2009.0,2860.57
FD5415,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,13.36,0.026,173.03,1987.0,4144.15
FD7534,Low Sugar,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.17,0.076,151.4,2009.0,3659.4
FD8341,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,10.74,0.022,135.31,2009.0,2780.41
FD6023,Low Sugar,Dairy,OUT002,Small,Tier 3,Food Mart,9.65,0.06,109.18,1998.0,2001.26
FD2443,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,13.71,0.026,119.95,2009.0,3137.79
FD179,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,12.32,0.024,128.51,2009.0,4492.96
FD193,Low Sugar,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,10.68,0.033,72.37,1987.0,4790.98
DR4890,reg,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,13.64,0.04,158.51,2009.0,3911.69
FD2647,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,11.52,0.046,145.66,2009.0,3170.06
NC5342,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,12.06,0.043,123.58,2009.0,2840.17
DR1382,Low Sugar,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,14.02,0.09,118.48,2009.0,3177.22
FD4479,Regular,Breakfast,OUT004,Medium,Tier 2,Supermarket Type2,9.59,0.028,180.74,2009.0,3449.91
FD1657,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,14.74,0.098,131.15,2009.0,3599.97
FD2997,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,9.08,0.085,150.86,2009.0,2723.52
NC774,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,11.05,0.128,120.71,2009.0,2553.48
FD292,Regular,Canned,OUT002,Small,Tier 3,Food Mart,11.76,0.093,169.01,1998.0,536.2
NC7999,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,11.0,0.041,124.52,2009.0,2618.11
NC6241,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,12.67,0.042,162.7,2009.0,3777.08
FD5478,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,12.21,0.034,133.22,2009.0,3070.12
FD7760,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,14.3,0.028,122.07,2009.0,3314.37
FD6299,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,13.71,0.021,137.33,2009.0,3493.51
NC2508,No Sugar,Household,OUT004,Medium,Tier 2,Supermarket Type2,15.68,0.032,137.97,2009.0,3951.56
FD4899,Regular,Frozen Foods,OUT004,Medium,Tier 2,Supermarket Type2,10.63,0.152,146.72,2009.0,2990.81
FD7662,Low Sugar,Canned,OUT002,Small,Tier 3,Food Mart,7.33,0.183,107.44,1998.0,1440.64
FD4798,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,14.66,0.093,122.03,2009.0,3395.33
FD3613,Low Sugar,Meat,OUT002,Small,Tier 3,Food Mart,9.37,0.019,108.18,1998.0,1917.0
FD8610,Regular,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,11.12,0.061,141.28,2009.0,2989.82
FD8108,Low Sugar,Canned,OUT004,Medium,Tier 2,Supermarket Type2,12.19,0.032,155.23,2009.0,3517.0
FD3417,Low Sugar,Snack Foods,OUT002,Small,Tier 3,Food Mart,9.87,0.03,89.57,1998.0,1648.78
FD2652,Regular,Snack Foods,OUT002,Small,Tier 3,Food Mart,8.8,0.024,127.36,1998.0,2180.48
FD4155,Low Sugar,Baking Goods,OUT004,Medium,Tier 2,Supermarket Type2,13.18,0.119,145.25,2009.0,3535.35
FD4469,Low Sugar,Fruits and Vegetables,OUT004,Medium,Tier 2,Supermarket Type2,10.37,0.024,126.19,2009.0,2511.3
NC2681,No Sugar,Health and Hygiene,OUT002,Small,Tier 3,Food Mart,9.21,0.147,111.69,1998.0,1951.42
NC8533,No Sugar,Health and Hygiene,OUT004,Medium,Tier 2,Supermarket Type2,11.41,0.072,134.6,2009.0,2918.02
FD3135,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,14.33,0.017,160.39,1987.0,4105.63
FD1468,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2,15.96,0.016,136.4,2009.0,3984.02
FD6880,Regular,Meat,OUT004,Medium,Tier 2,Supermarket Type2,14.25,0.012,152.66,2009.0,3929.03
FD2423,Low Sugar,Dairy,OUT004,Medium,Tier 2,Supermarket Type2,14.14,0.061,133.45,2009.0,3511.93
FD2387,Regular,Snack Foods,OUT001,High,Tier 2,Supermarket Type1,10.32,0.025,122.2,1987.0,2417.92
DR7299,Low Sugar,Soft Drinks,OUT002,Small,Tier 3,Food Mart,8.25,0.108,113.37,1998.0,1768.94
FD5196,Regular,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,11.89,0.022,156.09,2009.0,3467.25
DR3070,Regular,Soft Drinks,OUT004,Medium,Tier 2,Supermarket Type2,13.66,0.035,122.04,2009.0,3168.81
FD4880,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,11.55,0.07,137.99,2009.0,3019.18
FD5627,Regular,Fruits and Vegetables,OUT002,Small,Tier 3,Food Mart,10.27,0.126,68.56,1998.0,1309.28
FD5107,Low Sugar,Baking Goods,OUT001,High,Tier 2,Supermarket Type1,14.84,0.015,156.86,1987.0,4148.84
FD5978,Low Sugar,Dairy,OUT001,High,Tier 2,Supermarket Type1,15.71,0.063,148.95,1987.0,4184.52
FD2449,Low Sugar,Frozen Foods,OUT002,Small,Tier 3,Food Mart,9.47,0.149,100.97,1998.0,1791.34
FD7950,Low Sugar,Snack Foods,OUT004,Medium,Tier 2,Supermarket Type2,14.17,0.038,125.58,2009.0,3357.59
